condition,color_type,length_m,height_cm,x1,x2,breed_category,pet_category
2.0,Brown Tabby,0.8,7.78,13,9,0,1
1.0,White,0.72,14.19,13,9,0,2
,Brown,0.15,40.9,15,4,2,4
1.0,White,0.62,17.82,0,1,0,2
2.0,Black,0.5,11.06,18,4,0,1
0.0,Red,0.92,29.56,0,7,1,2
2.0,Brown Tabby,0.14,40.24,0,1,0,1
0.0,White,0.15,25.48,7,1,1,1
2.0,Brown,0.05,38.22,13,9,1,2
2.0,Brown,0.55,21.26,13,9,1,2
0.0,Tricolor,0.3,23.06,0,1,1,2
2.0,Brown Tabby,0.44,40.32,16,9,1,1
1.0,Black,0.2,30.78,13,9,0,2
1.0,White,0.45,5.39,13,9,0,2
0.0,Calico,0.48,30.54,0,1,1,1
1.0,Black,0.18,49.05,13,9,0,1
1.0,Red,0.88,49.5,7,1,0,2
1.0,Black,0.93,14.83,0,7,0,2
2.0,Brown Brindle,0.76,38.99,13,9,1,2
0.0,Black,0.96,24.33,0,1,1,1
1.0,Brown Tabby,0.66,36.01,0,1,0,1
,Brown,0.45,14.0,11,4,2,4
0.0,White,0.92,49.5,7,1,1,2
0.0,Blue,0.31,49.04,13,9,1,2
2.0,Black,0.51,45.53,13,9,0,2
1.0,Black,0.8,37.17,0,7,0,2
0.0,Tortie,0.53,35.06,0,1,1,1
1.0,Gray,0.32,48.92,0,7,0,2
1.0,Fawn,0.98,14.02,0,7,0,2
0.0,Tricolor,0.68,22.33,0,7,1,2
1.0,Buff,0.16,27.19,0,1,0,2
1.0,White,0.6,49.36,13,9,0,2
0.0,Black,0.83,22.34,0,1,1,2
0.0,White,0.92,37.62,0,1,1,1
2.0,White,0.16,48.19,0,7,1,2
,White,0.03,21.9,13,9,2,1
1.0,Black,0.91,30.24,13,9,0,2
0.0,Torbie,0.73,15.86,0,1,1,1
,Brown,0.73,8.22,0,6,2,4
1.0,Orange Tabby,0.9,12.88,0,7,0,1
1.0,Tricolor,0.88,41.37,0,7,0,2
2.0,Brown,0.65,18.14,13,9,1,4
0.0,Black,0.79,10.9,7,1,1,1
,Black,0.08,30.4,9,2,2,1
0.0,Blue,0.05,44.1,0,1,1,1
0.0,Orange Tabby,0.52,13.25,16,9,1,1
1.0,Black,0.62,32.76,0,1,0,2
1.0,White,0.42,10.38,0,8,0,2
1.0,Black,0.53,42.92,13,9,0,1
0.0,Black,0.07,7.09,16,9,1,1
0.0,Blue,0.41,35.07,0,1,1,2
2.0,Sable,0.54,17.01,0,7,0,2
0.0,White,0.19,30.01,13,9,1,2
,Brown Tabby,0.44,49.68,18,4,2,1
0.0,Tan,0.67,15.38,0,7,1,2
1.0,Tan,0.7,12.53,0,7,0,2
1.0,Brown,0.8,29.12,0,1,0,2
2.0,Brown Tabby,0.33,46.54,18,4,0,1
0.0,Tan,0.09,20.71,0,1,1,2
1.0,White,0.62,35.64,7,1,0,1
1.0,Black,0.83,17.96,0,7,0,1
0.0,Black,0.04,43.27,0,1,1,2
1.0,Orange Tabby,0.38,32.15,16,9,0,1
0.0,Blue,0.1,44.25,0,1,1,2
